"DomainLength","IsDomainIP","TLD","TLDLength","NoOfSubDomain","NoOfAmpersandInURL","HasTitle","HasFavicon","Robots","NoOfURLRedirect","NoOfSelfRedirect"
26,0,302,4,1,0,1,0,0,0,0
18,0,96,3,1,0,1,0,0,0,0
16,0,96,3,1,0,1,1,0,0,0
12,0,258,3,1,0,1,1,1,0,0
22,0,302,4,1,0,1,0,0,0,0
11,0,290,2,1,0,0,0,0,0,0
20,0,258,3,1,0,1,1,0,0,0
26,0,258,3,1,0,1,1,0,0,0
17,0,83,3,0,0,1,0,1,0,0
27,0,96,3,1,0,1,0,0,0,0
19,0,94,2,1,0,0,0,0,0,0
18,0,96,3,1,0,1,0,0,0,0
18,0,96,3,1,0,1,0,1,0,0
27,0,96,3,1,0,1,0,1,1,0
18,0,96,3,1,0,1,1,0,0,0
18,0,345,2,2,0,1,0,0,0,0
20,0,96,3,1,0,0,0,0,0,0
14,0,96,3,1,0,1,0,1,0,0
14,0,96,3,1,0,1,0,0,0,0
22,0,96,3,1,0,1,0,0,0,0
14,0,96,3,0,0,1,1,0,0,0
22,0,96,3,1,0,1,0,0,0,0
11,0,96,3,0,0,1,0,0,0,0
12,0,221,2,1,0,1,0,1,1,1
17,0,96,3,1,0,1,1,1,0,0
15,0,300,4,1,0,1,0,1,0,0
16,0,345,2,2,0,1,0,0,0,0
17,0,175,2,1,0,1,1,0,0,0
29,0,258,3,1,0,1,0,0,0,0
34,0,242,3,3,0,1,0,0,1,0
19,0,96,3,1,0,1,1,0,0,0
20,0,258,3,1,0,1,1,0,0,0
24,0,345,2,2,0,1,1,0,0,0
22,0,287,2,1,0,1,0,1,0,0
23,0,96,3,1,0,1,1,0,0,0
24,0,290,2,3,0,1,0,0,0,0
21,0,187,2,1,0,1,0,0,0,0
18,0,96,3,1,0,1,1,0,0,0
18,0,96,3,1,0,1,1,1,0,0
13,0,96,3,0,0,1,0,0,0,0
5,0,143,2,0,0,1,0,0,0,0
15,0,180,2,1,0,1,1,0,0,0
21,0,345,2,2,0,1,1,0,0,0
17,0,96,3,2,0,0,0,0,0,0
19,0,176,4,1,0,1,0,0,0,0
37,0,180,2,1,0,1,0,0,0,0
28,0,96,3,1,0,1,0,0,1,1
23,0,258,3,1,0,1,0,0,0,0
32,0,96,3,1,0,1,0,0,0,0
21,0,50,2,1,0,1,1,0,0,0
15,0,150,3,2,0,1,1,0,1,0
22,0,50,2,2,0,1,1,1,0,0
27,0,221,2,1,0,0,0,0,0,0
29,0,96,3,1,0,1,1,0,0,0
16,0,150,3,1,0,1,1,0,0,0
32,0,242,3,4,0,1,0,0,1,0
23,0,258,3,1,0,1,0,0,0,0
15,0,82,2,1,0,1,0,0,1,1
23,0,49,2,1,0,1,1,1,0,0
23,0,96,3,1,0,1,0,0,0,0
12,0,136,2,1,0,1,1,0,0,0
21,0,96,3,1,0,1,1,0,0,0
24,0,45,3,1,0,1,0,0,1,1
13,0,168,2,1,0,1,0,0,1,0
23,0,96,3,1,0,1,1,0,1,1
18,0,96,3,2,0,0,0,0,0,0
36,0,96,3,1,0,1,1,0,0,0
12,0,166,2,1,0,1,1,1,0,0
22,0,221,2,1,0,1,0,1,0,0
21,0,56,2,1,0,1,0,1,0,0
21,0,96,3,1,0,1,0,1,0,0
15,0,238,2,2,0,1,1,1,0,0
28,0,96,3,1,0,1,0,1,1,1
22,0,96,3,1,0,1,1,0,0,0
19,0,242,3,1,0,1,0,0,0,0
25,0,96,3,1,0,1,1,0,0,0
24,0,96,3,1,0,1,1,1,0,0
79,0,180,2,2,0,0,0,0,0,0
28,0,45,3,1,0,0,0,0,1,0
14,0,96,3,1,0,1,1,0,0,0
23,0,96,3,1,0,1,0,1,0,0
17,0,340,2,1,0,1,0,1,1,0
22,0,96,3,1,0,1,1,0,0,0
22,0,96,3,1,0,1,0,0,1,0
11,0,258,3,1,0,1,1,0,0,0
17,0,96,3,1,0,1,0,1,0,0
24,0,96,3,1,0,1,0,1,0,0
28,0,96,3,1,0,1,0,1,0,0
38,0,96,3,1,0,1,1,1,0,0
16,0,94,2,1,0,1,0,0,0,0
24,0,96,3,1,0,1,1,1,0,0
19,0,96,3,1,0,1,0,0,0,0
14,0,96,3,1,0,1,0,0,0,0
14,0,112,2,1,0,1,1,1,0,0
13,0,242,3,1,0,1,0,0,0,0
17,0,187,2,1,0,1,0,0,0,0
28,0,113,3,2,0,0,0,0,0,0
41,0,300,4,1,0,0,0,0,0,0
23,0,96,3,1,0,1,0,0,0,0
13,0,249,2,1,0,1,1,0,0,0
