"DomainLength","IsDomainIP","TLD","TLDLength","NoOfSubDomain","NoOfAmpersandInURL","HasTitle"
21,0,71,2,2,0,1
24,0,96,3,1,0,1
27,0,96,3,1,0,1
23,0,258,3,1,0,1
13,0,242,3,1,0,1
30,0,96,3,1,0,1
24,0,345,2,2,0,1
23,0,180,2,1,0,1
14,0,176,4,1,0,1
21,0,96,3,1,0,0
28,0,302,4,1,0,1
26,0,345,2,2,0,1
24,0,96,3,1,0,1
13,0,202,4,0,0,1
29,0,96,3,1,0,1
19,0,346,2,3,0,1
16,0,269,2,2,0,1
17,0,270,2,2,0,0
19,0,96,3,0,0,0
21,0,96,3,1,0,1
18,0,96,3,1,0,1
18,0,345,2,1,0,1
17,0,96,3,1,0,1
21,0,171,2,1,0,1
18,0,45,3,1,0,1
21,0,290,2,1,0,0
22,0,112,2,1,0,0
16,0,96,3,0,0,1
17,0,242,3,1,0,1
30,0,270,2,2,0,1
18,0,346,2,3,0,1
17,0,364,3,1,0,1
10,0,248,2,1,0,1
46,0,96,3,3,0,0
23,0,96,3,1,0,1
79,0,180,2,2,0,0
22,0,96,3,1,0,1
34,0,93,2,4,0,1
12,0,136,2,1,0,1
11,0,96,3,0,0,1
15,0,364,3,1,0,0
17,0,345,2,2,0,1
24,0,96,3,1,0,1
25,0,242,3,1,0,1
16,0,225,2,0,0,0
20,0,183,2,1,0,1
38,0,96,3,1,0,1
18,0,113,3,1,0,1
15,0,96,3,1,0,1
22,0,96,3,1,0,1
26,0,96,3,1,0,1
15,0,139,2,1,0,1
15,0,96,3,1,0,1
19,0,345,2,2,0,1
24,0,96,3,1,0,1
18,0,137,3,2,0,1
16,0,166,2,1,0,1
23,0,258,3,1,0,1
27,0,290,2,2,0,1
14,0,96,3,1,0,1
14,0,258,3,1,0,1
19,0,242,3,1,0,1
22,0,96,3,1,0,1
19,0,96,3,1,0,1
81,0,96,3,3,3,1
15,0,290,2,1,0,1
33,0,96,3,1,0,1
47,0,94,2,2,0,1
23,0,96,3,1,0,1
22,0,96,3,1,0,1
22,0,96,3,1,0,1
18,0,96,3,1,0,1
19,0,169,3,1,0,0
30,0,113,3,1,0,0
30,0,96,3,1,0,1
33,0,96,3,1,0,1
18,0,96,3,1,0,1
24,0,345,2,4,0,1
20,0,96,3,1,0,1
30,0,96,3,1,0,1
20,0,96,3,1,0,0
14,0,96,3,1,0,1
19,0,96,3,1,0,1
19,0,112,2,1,0,1
26,0,96,3,1,0,1
39,0,300,4,3,0,0
22,0,90,5,1,0,1
37,0,261,4,2,0,1
19,0,96,3,1,0,1
10,0,300,4,0,0,0
29,0,261,4,1,0,1
17,0,96,3,1,0,1
17,0,96,3,1,0,1
18,0,96,3,1,0,1
31,0,96,3,1,0,1
18,0,96,3,1,0,1
20,0,96,3,1,0,1
14,0,49,2,2,0,1
17,0,258,3,1,0,1
18,0,45,3,1,0,1
22,0,302,4,1,0,1
19,0,96,3,1,0,1
15,0,96,3,1,0,1
16,0,258,3,1,0,1
19,0,96,3,1,0,1
24,0,96,3,1,0,1
20,0,96,3,1,0,1
18,0,191,2,2,0,1
19,0,96,3,1,0,1
30,0,96,3,1,0,1
19,0,242,3,0,0,1
22,0,258,3,2,0,0
18,0,96,3,1,0,0
19,0,96,3,1,0,1
16,0,96,3,1,0,0
24,0,96,3,1,0,1
21,0,96,3,1,0,1
23,0,96,3,1,0,1
27,0,96,3,1,0,1
20,0,183,2,1,0,1
25,0,258,3,1,0,1
13,0,296,2,2,0,1
14,0,242,3,1,0,1
16,0,94,2,1,0,1
19,0,96,3,1,0,1
13,0,96,3,0,0,1
35,0,113,3,1,0,1
14,0,345,2,2,0,1
29,0,94,2,1,0,1
17,0,45,3,1,0,1
25,0,258,3,1,0,1
12,0,258,3,1,0,1
11,0,35,2,1,0,1
74,0,205,4,2,0,1
20,0,96,3,1,0,1
25,0,96,3,1,0,0
19,0,88,2,1,0,1
46,0,94,2,2,0,1
23,0,258,3,1,0,1
16,0,96,3,1,0,1
76,0,96,3,2,0,0
28,0,96,3,1,0,1
12,0,128,2,1,0,1
28,0,345,2,2,0,1
16,0,96,3,1,0,1
4,0,170,2,0,0,0
14,0,258,3,1,0,1
19,0,123,3,2,0,1
13,0,159,2,1,0,1
19,0,96,3,0,0,1
17,0,96,3,0,0,0
22,0,96,3,1,0,0
18,0,96,3,2,0,0
23,0,96,3,1,0,1
18,0,187,2,2,0,1
43,0,242,3,4,0,1
30,0,96,3,1,0,0
25,0,96,3,1,0,1
20,0,96,3,1,0,0
47,0,96,3,1,0,1
21,0,96,3,1,0,1
14,0,96,3,1,0,0
17,0,45,3,1,0,1
47,0,94,2,2,0,1
21,0,96,3,1,0,1
25,0,258,3,1,0,1
19,0,94,2,1,0,0
11,0,258,3,1,0,1
23,0,96,3,1,0,1
27,0,45,3,1,0,1
28,0,96,3,1,0,1
24,0,345,2,2,0,1
14,0,96,3,1,0,1
