"TLDLength","NoOfSubDomain","NoOfAmpersandInURL","HasTitle","HasFavicon","Robots","NoOfSelfRedirect","NoOfPopup","NoOfiFrame","HasExternalFormSubmit","HasPasswordField","Bank","Pay","Crypto","label"
11,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,3,0,1,1,0,0,0,1,0,0,0,0,0,1
3,1,0,1,0,0,0,0,19,0,1,1,1,0,1
3,1,0,1,0,1,0,0,2,0,0,0,0,0,1
3,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,1,1,0,0,0,2,0,1,0,0,0,1
2,2,0,1,1,0,0,0,0,0,0,1,1,1,1
3,2,0,1,1,1,0,1,12,0,0,0,1,0,1
3,1,0,1,1,0,0,0,2,0,0,0,0,0,1
2,2,0,1,0,0,0,1,4,0,0,1,0,0,1
3,1,0,1,1,0,0,126,20,0,0,0,1,0,1
3,1,0,1,0,0,0,0,1,0,0,0,0,0,1
3,1,0,1,1,1,0,0,0,0,0,0,0,0,1
2,1,0,1,0,1,0,0,0,0,0,0,0,0,0
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,0,0,0,0,0,0,0,1,0,0,1
3,1,0,1,1,0,0,0,0,0,0,0,1,0,0
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,0,0,0,0,0,0,0,0,1,0,1
2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
3,3,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,0,0,0,1,0,0,1,0,0,0,1
3,1,0,1,1,0,0,0,3,0,0,0,0,0,1
4,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,0,1,1,0,2,0,0,0,0,0,1
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1,0,1,1,1,0,0,1,0,0,1,1,0,1
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,1,0,0,3,24,0,0,1,0,0,1
3,1,0,1,0,1,0,0,1,0,0,0,0,0,1
3,1,0,1,0,1,0,0,0,0,0,0,0,0,1
3,1,0,1,1,0,0,0,2,0,0,0,0,1,0
2,2,0,1,0,0,0,0,0,0,1,0,0,0,0
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,1,1,0,0,2,0,0,0,0,0,1
2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2,3,0,1,1,1,0,0,0,0,0,0,1,0,1
3,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2,3,0,1,0,0,0,0,0,0,0,0,0,0,1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,1,0,1,0,0,0,0,0,1,1,0,1
2,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,1,1,0,0,2,0,0,0,0,0,1
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,1,1,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,0,0,0,0,2,0,0,0,0,0,1
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,1,0,0,0,0,0,0,0,0,0,0,1
3,1,0,1,0,1,0,0,0,0,0,0,0,0,1
3,1,0,1,1,1,0,0,0,0,0,0,1,0,1
3,1,0,1,0,1,0,0,0,0,0,0,1,0,1
2,1,0,1,1,1,0,0,1,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,0,0,1,0,0,0,0,0,0,0,0
3,1,0,1,0,1,0,0,0,0,1,0,0,0,1
3,1,0,1,1,1,0,0,1,0,0,0,1,0,1
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,1,0,0,0,18,0,0,0,1,0,1
3,1,0,1,1,0,0,0,2,0,0,0,0,0,1
2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,1,0,0,0,1,0,0,0,0,0,1
3,1,0,1,1,0,0,0,0,0,0,0,0,0,1
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2,0,1,0,0,0,0,19,0,1,1,1,0,1
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3,1,0,1,1,0,0,0,0,0,0,0,0,0,1
4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,1,1,0,0,0,1,0,0,1,0,1
3,1,0,1,0,1,0,0,1,0,0,0,0,0,1
3,1,0,1,1,0,0,0,0,0,0,0,0,0,1
3,2,0,1,0,0,0,0,1,0,1,1,1,0,1
2,1,0,1,1,0,0,0,0,0,0,0,0,0,1
3,1,0,1,0,0,0,2,0,0,0,0,0,0,1
2,2,0,1,0,0,0,0,0,0,0,0,1,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,1,0,0,5,3,0,1,0,1,0,1
3,1,0,1,1,1,0,0,3,0,0,0,1,0,1
4,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2,0,1,0,1,0,0,7,0,0,0,1,0,1
3,1,0,1,0,1,0,0,2,0,0,1,1,0,1
3,1,0,1,1,0,0,0,0,0,0,0,0,0,1
3,1,1,1,1,0,1,0,2,0,0,0,0,0,0
3,1,0,1,0,1,0,0,0,0,0,0,0,0,1
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,1,0,0,0,3,0,0,1,1,1,1
3,2,0,1,1,1,0,0,0,0,0,0,0,0,1
2,1,0,1,1,1,0,0,0,1,0,0,0,0,1
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,0,0,1,0,0,0,0,0,0,0,0
3,1,0,1,1,0,0,0,0,0,0,0,1,0,1
2,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4,2,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,1,0,1,0,1,0,0,0,0,1,0,1
3,1,0,1,1,0,0,0,1,0,0,0,0,0,1
3,1,0,1,1,0,0,0,0,0,0,0,1,0,1
3,1,0,1,1,0,0,0,0,0,0,0,0,0,1
3,1,0,1,0,1,0,0,0,0,0,1,1,0,1
3,1,0,1,1,1,0,2,0,1,0,0,0,0,1
4,1,0,1,0,0,1,0,0,0,0,0,0,0,0
3,1,0,1,1,0,0,0,1,0,0,0,0,0,1
2,1,0,1,1,0,0,0,0,0,0,0,0,0,1
2,1,0,1,0,1,0,0,3,0,0,0,0,0,1
3,1,0,1,0,1,0,0,0,0,0,0,0,0,0
3,1,0,1,1,0,0,1,0,0,0,0,1,0,1
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,1,1,0,1,0,0,1,0,0,0,1
3,2,0,1,0,0,0,0,0,0,1,0,0,0,0
3,1,0,1,0,0,0,0,0,0,0,1,0,0,1
4,2,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,0,0,0,0,0,0,0,0,1,0,1
3,1,0,1,0,1,0,0,0,0,0,0,1,0,1
3,1,0,1,1,0,0,0,0,0,0,0,0,0,1
3,1,0,1,1,0,0,0,1,0,1,0,0,0,1
3,1,0,1,0,0,0,0,1,0,0,1,1,0,1
2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,1,0,0,0,3,0,0,0,0,0,1
2,1,0,1,0,0,0,0,0,0,0,1,0,0,0
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1,0,1,0,1,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,1,1,0,0,7,0,1,0,0,0,1
2,1,0,1,0,0,0,1,0,0,0,0,0,0,1
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,1,0,1,0,19,0,1,1,1,0,1
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,1,0,0,0,1,0,0,0,1,1,1
3,1,0,1,1,1,0,0,2,0,1,0,1,0,1
3,1,0,1,1,0,0,0,6,0,0,0,1,0,1
2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,1,1,0,0,3,0,0,0,0,0,1
3,1,0,1,1,0,0,0,0,0,0,0,0,0,1
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,1,0,0,0,2,0,0,0,0,0,1
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,0,1,0,0,3,0,0,0,1,0,1
