"DomainLength","IsDomainIP","TLD","TLDLength","NoOfSubDomain","NoOfAmpersandInURL","HasTitle","HasFavicon","Robots","NoOfURLRedirect","NoOfSelfRedirect","NoOfPopup","NoOfiFrame","HasExternalFormSubmit","HasSubmitButton","HasHiddenFields","HasPasswordField","Bank","Pay","Crypto","NoOfCSS","NoOfEmptyRef","label"
28,0,267,11,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,9,1
17,0,248,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,345,2,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,5,0,1
21,0,96,3,1,0,1,0,0,0,0,0,19,0,1,1,1,1,1,0,47,28,1
26,0,96,3,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,9,1,1
23,0,96,3,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
15,0,96,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,191,2,1,0,1,1,0,1,0,0,2,0,1,1,1,0,0,0,18,5,1
28,0,345,2,2,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,3,4,1
17,0,223,3,2,0,1,1,1,1,0,1,12,0,0,1,0,0,1,0,9,0,1
12,0,96,3,1,0,1,1,0,0,0,0,2,0,1,1,0,0,0,0,1,0,1
15,0,50,2,2,0,1,0,0,1,0,1,4,0,1,1,0,1,0,0,3,0,1
21,0,96,3,1,0,1,1,0,0,0,126,20,0,1,0,0,0,1,0,3,0,1
13,0,96,3,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,2,9,1
16,0,258,3,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,7,0,1
31,0,290,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
15,0,96,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,96,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9,4,1
60,0,96,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,0,96,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,96,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,93,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,96,3,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1
13,1,24,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,335,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,200,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,96,3,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,2,0,1
12,0,258,3,1,0,1,1,0,0,0,0,3,0,1,0,0,0,0,0,2,0,1
37,0,302,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,96,3,1,0,1,0,1,1,1,0,2,0,1,1,0,0,0,0,23,3,1
25,0,96,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,96,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,56,2,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,8,3,1
16,0,96,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,96,3,1,0,1,1,0,0,0,3,24,0,1,0,0,1,0,0,5,0,1
26,0,96,3,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,19,1,1
17,0,96,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1
24,0,96,3,1,0,1,1,0,0,0,0,2,0,1,0,0,0,0,1,2,0,0
33,0,94,2,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
42,0,96,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,96,3,1,0,1,1,1,0,0,0,2,0,1,1,0,0,0,0,9,0,1
10,0,112,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,136,2,3,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,12,1,1
19,0,96,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
15,0,335,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,0,341,2,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1
14,0,93,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,345,2,2,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,7,0,1
17,0,71,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,328,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,96,3,1,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,4,0,1
20,0,176,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,96,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1
11,0,258,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,258,3,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,19,0,1
24,0,96,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,112,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
13,0,170,2,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,1
20,0,96,3,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,9,112,1
18,0,258,3,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,7,2,1
18,0,96,3,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,12,5,1
24,0,84,2,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,2,1,1
11,0,96,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,45,3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
23,0,96,3,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,2,2,1
19,0,258,3,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,24,3,1
29,0,96,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,96,3,1,0,1,1,0,0,0,0,18,0,1,1,0,0,1,0,8,1,1
13,0,150,3,1,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,3,1,1
14,0,290,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,242,3,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,8,0,1
12,0,258,3,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,9,1
16,0,45,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,93,2,2,0,1,0,0,0,0,0,19,0,1,0,1,1,1,0,2,0,1
30,0,96,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,96,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,0,242,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
16,0,48,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,96,3,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,15,0,1
16,0,96,3,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,4,4,1
19,0,96,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,7,1,1
21,0,150,3,2,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,5,3,1
14,0,296,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,12,0,1
21,0,96,3,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1
25,0,290,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26,0,287,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,96,3,1,0,1,1,0,0,0,5,3,0,1,1,1,0,1,0,6,4,1
27,0,96,3,1,0,1,1,1,0,0,0,3,0,1,1,0,0,1,0,71,9,1
21,0,91,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,71,2,2,0,1,0,1,0,0,0,7,0,1,0,0,0,1,0,15,15,1
25,0,96,3,1,0,1,0,1,0,0,0,2,0,1,1,0,1,1,0,7,29,1
16,0,96,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1
15,0,96,3,1,1,1,1,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0
20,0,96,3,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,27,3,1
17,0,131,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,242,3,1,0,1,1,0,0,0,0,3,0,1,1,0,1,1,1,10,0,1
25,0,96,3,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1
16,0,248,2,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,14,1,1
16,0,96,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,96,3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21,0,258,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1
9,0,128,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
74,0,205,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,96,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,96,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,345,2,2,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,21,0,1
28,0,258,3,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,12,0,1
16,0,96,3,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,9,2,1
15,0,258,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
16,0,96,3,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,9,0,1
19,0,96,3,1,0,1,1,1,0,0,2,0,1,1,1,0,0,0,0,19,1,1
31,0,302,4,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20,0,96,3,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,4,0,1
15,0,290,2,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1
14,0,183,2,1,0,1,0,1,0,0,0,3,0,1,1,0,0,0,0,21,5,1
34,0,96,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
19,0,96,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1
19,0,96,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,96,3,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,9,6,1
76,0,96,3,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
24,0,242,3,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,18,0,1
74,0,205,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,96,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,270,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,96,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,8,0,1
32,0,258,3,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,4,0,1
