"DomainLength","IsDomainIP","TLD","TLDLength","NoOfSubDomain","NoOfAmpersandInURL","HasTitle"
22,0,96,3,1,0,1
28,0,96,3,1,0,1
15,0,93,2,2,0,1
35,0,96,3,1,0,1
21,0,94,2,2,0,1
12,0,258,3,1,0,1
12,0,258,3,1,0,1
16,0,242,3,1,0,0
21,0,123,3,1,0,1
43,0,113,3,1,0,1
28,0,96,3,1,0,1
25,0,96,3,1,0,1
28,0,96,3,1,0,1
26,0,110,2,1,0,1
39,0,45,3,2,0,1
20,0,96,3,1,0,1
18,0,96,3,1,0,1
23,0,258,3,1,0,1
19,0,345,2,2,0,1
17,0,82,2,1,0,1
17,0,96,3,1,0,1
18,0,96,3,1,0,1
25,0,96,3,1,0,1
24,0,96,3,1,0,1
17,0,96,3,1,0,1
20,0,96,3,1,0,1
24,0,96,3,1,0,1
18,0,96,3,1,0,1
20,0,96,3,2,0,0
21,0,96,3,1,0,1
17,0,258,3,1,0,1
32,0,96,3,1,0,1
24,0,96,3,1,0,1
21,0,96,3,1,0,1
9,0,335,3,0,0,1
17,0,96,3,1,0,1
22,0,96,3,1,0,0
29,0,290,2,2,0,1
29,0,297,8,1,0,0
15,0,84,2,1,0,1
22,0,96,3,1,0,1
16,0,96,3,1,0,1
12,0,56,2,1,0,1
20,0,258,3,1,0,1
23,0,96,3,1,0,1
14,0,96,3,1,0,1
19,0,96,3,1,0,1
16,0,96,3,1,0,0
35,0,335,3,2,0,0
22,0,258,3,1,0,1
17,0,128,2,1,0,1
18,0,96,3,1,0,1
21,0,96,3,1,0,1
18,0,38,6,1,0,1
20,0,116,2,1,0,1
28,0,96,3,1,0,1
14,0,75,2,1,0,1
15,0,96,3,1,0,1
17,0,96,3,1,0,1
20,0,96,3,2,0,0
16,0,360,5,1,0,0
21,0,296,2,1,0,0
20,0,96,3,0,0,1
19,0,242,3,1,0,1
51,0,94,2,2,0,1
14,0,139,2,1,0,0
35,0,96,3,3,0,1
17,0,258,3,1,0,1
17,0,258,3,1,0,1
15,0,96,3,1,0,1
13,0,96,3,1,0,1
30,0,176,4,1,0,0
31,0,96,3,1,0,1
13,0,49,2,1,0,1
15,0,345,2,2,0,1
21,0,96,3,1,0,1
34,0,96,3,2,0,0
13,0,258,3,1,0,1
25,0,345,2,2,0,1
18,0,96,3,1,0,1
17,0,96,3,1,0,1
22,0,96,3,1,0,1
17,0,96,3,1,0,1
26,0,258,3,2,0,1
21,0,96,3,0,0,0
17,0,96,3,1,0,1
24,0,112,2,1,0,1
34,0,45,3,1,0,1
11,0,96,3,0,0,1
18,0,253,2,2,0,1
18,0,176,4,1,0,1
24,0,96,3,1,0,1
16,0,139,2,1,0,1
