"HasFavicon","Robots","NoOfURLRedirect","NoOfSelfRedirect","NoOfPopup","NoOfiFrame","HasExternalFormSubmit"
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,0,0,0,0,0
0,0,0,0,0,0,0
1,0,1,0,3,0,0
0,0,0,0,0,0,0
0,1,0,0,0,3,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,19,0
1,0,0,0,0,1,0
0,0,1,0,0,24,0
0,1,0,0,0,0,0
1,1,0,0,0,1,0
0,0,1,1,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,6,0
0,0,0,0,0,0,0
1,1,0,0,0,2,0
1,0,0,0,0,2,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
1,1,1,0,0,12,0
0,0,1,0,0,0,0
0,0,1,1,0,0,0
0,1,1,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,6,0
1,0,0,0,0,0,0
1,1,0,0,0,2,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,2,0
1,0,0,0,0,1,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,0,0,0,0,0
0,0,0,0,0,0,0
1,0,1,0,0,2,0
0,0,0,0,0,0,0
0,0,0,0,0,1,0
0,0,1,0,0,0,0
1,0,0,0,0,0,0
0,1,1,1,0,2,0
1,1,0,0,0,19,0
1,0,0,0,0,3,0
0,0,0,0,0,0,0
0,1,0,0,1,1,0
1,0,1,1,0,0,0
0,1,0,0,1,0,0
0,0,0,0,0,2,0
0,0,0,0,0,2,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
1,0,0,0,0,1,0
1,1,0,0,0,1,1
0,0,0,0,0,0,0
0,0,0,0,0,19,0
1,1,0,0,0,1,0
0,1,0,0,0,6,0
0,0,0,0,0,0,0
0,0,1,1,0,0,0
1,0,0,0,0,2,0
1,0,0,0,0,7,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
1,1,0,0,0,1,1
0,0,1,0,0,10,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,0,0,0,2,0
1,1,0,0,1,2,0
0,0,0,0,0,0,0
0,0,0,0,0,4,0
0,0,1,1,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,3,0
0,1,0,0,0,3,0
0,1,0,0,0,0,0
1,1,0,0,0,0,0
0,0,1,0,0,19,0
1,0,0,0,0,8,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,2,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,1
0,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,0,0,0,3,0
0,0,0,0,0,19,0
1,1,0,0,0,0,0
1,0,1,0,0,2,0
0,0,0,0,0,0,0
0,1,0,0,0,2,0
0,1,1,0,0,2,0
1,1,0,0,3,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,6,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,1,1,0,0,0
0,1,0,0,0,1,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,1,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,1,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,2,0
1,1,0,0,0,0,1
1,0,0,0,1,0,0
0,0,0,0,0,0,0
1,1,0,0,2,2,0
1,0,0,0,0,0,0
0,0,1,1,0,0,0
1,0,0,0,0,3,0
1,0,1,1,0,2,0
0,1,0,0,0,1,0
0,0,0,0,0,0,0
0,0,1,0,0,0,0
1,1,0,0,0,2,0
1,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,2,0
0,1,0,0,0,1,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
1,1,0,0,0,4,0
0,0,0,0,0,0,0
0,0,1,1,0,0,0
0,0,1,1,0,0,0
0,1,0,0,0,1,0
1,1,0,0,1,12,0
1,1,0,0,0,4,0
0,1,0,0,0,0,1
0,0,0,0,0,3,0
0,0,0,0,0,0,0
1,1,1,1,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,3,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,1,0
0,1,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,0,0,0,0
1,1,0,0,0,4,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,5,0
0,0,0,0,0,0,0
0,0,0,0,0,19,0
1,1,0,0,0,0,0
0,0,0,0,1,3,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,2,1
0,0,0,0,0,1,0
0,0,0,0,0,0,0
0,1,0,0,0,1,0
1,1,0,0,0,1,0
0,1,0,0,0,0,0
1,1,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,1,0,0
1,0,0,0,0,6,0
1,0,0,0,0,1,0
0,1,0,0,1,8,0
0,0,1,0,0,19,0
0,0,0,0,0,2,0
1,1,0,0,0,0,0
1,0,1,1,0,2,0
0,0,0,0,0,2,0
1,1,0,0,0,8,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,1,0
1,0,0,0,0,4,0
0,0,1,0,0,19,1
0,0,1,0,0,0,0
1,0,0,0,0,8,1
0,1,0,0,1,2,0
0,1,0,0,0,3,0
1,0,0,0,0,6,0
1,0,0,0,0,0,0
1,0,0,0,1,0,0
1,0,0,0,0,2,0
1,0,0,0,0,0,0
1,1,0,0,0,4,0
0,0,0,0,0,0,0
0,1,0,0,0,1,0
0,0,1,0,0,0,0
1,0,1,0,1,4,0
0,0,0,0,0,13,0
0,1,0,0,0,1,0
0,0,0,0,0,1,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,1,0,0,3,0
0,0,0,0,0,0,0
0,1,1,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
