"HasSubmitButton","HasHiddenFields","HasPasswordField","Bank","Pay","Crypto","NoOfCSS","NoOfEmptyRef","label"
0,1,1,0,1,0,6,67,1
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,3,0,0
0,0,0,0,0,0,7,0,1
1,0,0,0,0,0,3,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,3,2,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,3,0,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,106,0,1
1,1,1,1,1,0,10,2,1
0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,3,8,1
1,1,0,0,1,0,4,15,1
0,1,1,1,0,0,1,0,0
0,1,0,0,1,0,9,0,1
0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,65,4,1
1,0,0,0,0,0,3,7,0
0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,2,11,0
1,0,0,0,0,0,28,1,1
0,1,0,0,1,0,7,0,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,2,0,1
1,1,0,0,0,0,49,0,1
1,1,0,0,0,0,10,1,1
0,1,0,0,1,0,19,3,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,1
1,0,0,0,0,0,1,0,0
1,0,0,0,1,0,2,0,1
0,0,1,1,1,0,5,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,3,8,1
1,1,0,1,0,0,23,4,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1
1,1,0,0,0,0,5,0,1
1,1,0,0,1,0,4,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,4,0,1
0,0,0,0,0,0,5,7,1
1,1,1,0,0,0,3,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,8,0,1
0,0,0,0,0,0,8,0,1
1,0,1,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,1
0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,2,3,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0,1
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,8,5,1
