"DomainLength","IsDomainIP","TLD","TLDLength","NoOfSubDomain","NoOfAmpersandInURL","HasTitle","HasFavicon","Robots","NoOfURLRedirect"
28,0,345,2,2,0,1,0,0,0
17,0,96,3,1,0,1,1,1,0
18,0,45,3,1,0,1,0,0,1
16,0,45,3,1,0,1,1,0,0
26,0,50,2,2,0,1,0,0,0
12,0,123,3,1,0,1,1,0,0
19,0,96,3,1,0,1,0,1,0
24,0,96,3,1,0,1,0,1,0
13,0,258,3,1,0,1,1,1,0
12,0,242,3,1,0,1,1,0,0
14,0,123,3,1,0,1,0,0,0
29,0,96,3,1,0,1,0,0,0
16,0,96,3,1,0,1,1,0,0
17,0,96,3,1,0,1,1,0,0
17,0,96,3,1,0,1,0,1,0
13,0,258,3,1,0,1,0,0,0
30,0,94,2,2,0,1,0,0,0
24,0,96,3,1,0,1,1,0,1
13,0,96,3,1,0,1,0,0,0
25,0,96,3,0,0,1,0,0,0
23,0,302,4,1,0,0,0,0,0
10,0,362,2,1,0,1,0,0,0
14,0,96,3,1,0,1,0,0,0
20,0,283,7,1,0,1,0,0,0
32,0,93,2,3,0,0,0,0,0
31,0,96,3,1,0,1,0,1,0
29,0,258,3,1,0,0,0,0,1
20,0,96,3,1,0,1,1,0,0
16,0,96,3,1,0,1,0,1,1
18,0,96,3,1,0,1,1,1,0
21,0,258,3,1,0,1,1,1,0
17,0,258,3,1,0,1,0,1,0
24,0,130,2,1,0,1,1,0,0
39,0,96,3,1,0,0,0,0,1
14,0,96,3,1,0,1,1,1,1
21,0,258,3,1,0,1,0,0,0
15,0,242,3,1,0,1,0,0,0
20,0,242,3,1,0,1,0,1,0
16,0,258,3,1,0,1,0,1,0
11,0,96,3,1,0,1,1,0,0
16,0,183,2,2,0,1,1,0,0
14,0,181,2,2,0,1,0,0,0
17,0,96,3,1,0,1,0,1,0
17,0,96,3,1,0,1,1,0,0
12,0,88,2,1,0,1,0,0,0
23,0,258,3,1,0,1,1,1,0
21,0,96,3,1,0,1,0,0,0
22,0,258,3,1,0,1,0,0,0
22,0,345,2,2,0,1,1,1,1
35,0,96,3,2,0,1,0,0,0
