"TLD","TLDLength","NoOfSubDomain","NoOfAmpersandInURL","LineOfCode","HasTitle","HasFavicon","Robots","NoOfSelfRedirect","NoOfPopup","NoOfiFrame","HasExternalFormSubmit","HasPasswordField","Bank","Pay","Crypto","NoOfImage","NoOfCSS","NoOfJS","label"
267,11,1,0,646,1,0,0,0,0,0,0,0,0,0,0,2,3,10,1
248,2,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,2,3,0,2385,1,1,0,0,0,1,0,0,0,0,0,4,5,3,1
96,3,1,0,1782,1,0,0,0,0,19,0,1,1,1,0,18,47,19,1
96,3,1,0,536,1,0,1,0,0,2,0,0,0,0,0,30,9,13,1
96,3,1,0,1588,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
96,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,2,1,0,2623,1,1,0,0,0,2,0,1,0,0,0,79,18,31,1
345,2,2,0,27988,1,1,0,0,0,0,0,0,1,1,1,1,3,10,1
223,3,2,0,2376,1,1,1,0,1,12,0,0,0,1,0,25,9,6,1
96,3,1,0,717,1,1,0,0,0,2,0,0,0,0,0,15,1,0,1
50,2,2,0,3437,1,0,0,0,1,4,0,0,1,0,0,10,3,14,1
96,3,1,0,9790,1,1,0,0,126,20,0,0,0,1,0,51,3,8,1
96,3,1,0,1026,1,0,0,0,0,1,0,0,0,0,0,44,2,11,1
258,3,1,0,195,1,1,1,0,0,0,0,0,0,0,0,6,7,4,1
290,2,1,0,88,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
96,3,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,1220,1,0,0,0,0,0,0,0,1,0,0,58,9,25,1
96,3,1,0,662,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0
96,3,1,0,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,986,1,0,0,0,0,0,0,0,0,1,0,15,1,1,1
24,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
335,3,3,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,309,1,0,0,0,1,0,0,1,0,0,0,3,2,10,1
258,3,1,0,1256,1,1,0,0,0,3,0,0,0,0,0,16,2,8,1
302,4,1,0,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,818,1,0,1,1,0,2,0,0,0,0,0,23,23,21,1
96,3,1,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,3,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2,1,0,3109,1,1,1,0,0,1,0,0,1,1,0,44,8,22,1
96,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,2603,1,1,0,0,3,24,0,0,1,0,0,24,5,10,1
96,3,1,0,2986,1,0,1,0,0,1,0,0,0,0,0,11,19,20,1
96,3,1,0,513,1,0,1,0,0,0,0,0,0,0,0,16,0,2,1
96,3,1,0,140,1,1,0,0,0,2,0,0,0,0,1,11,2,2,0
94,2,2,0,104,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0
96,3,1,0,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,1088,1,1,1,0,0,2,0,0,0,0,0,22,9,22,1
112,2,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,2,3,0,867,1,1,1,0,0,0,0,0,0,1,0,21,12,6,1
96,3,1,0,651,1,0,0,0,0,0,0,0,0,0,0,168,1,3,1
335,3,1,0,29,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0
341,2,3,0,1028,1,0,0,0,0,0,0,0,0,0,0,39,2,12,1
93,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,2,2,0,541,1,0,1,0,0,0,0,0,1,1,0,10,7,13,1
71,2,1,0,20,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0
328,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,1235,1,1,1,0,0,2,0,0,0,0,0,59,4,14,1
176,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,253,1,1,1,0,0,0,0,0,0,0,0,1,3,3,1
258,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,3,1,0,952,1,0,0,0,0,2,0,0,0,0,0,45,19,48,1
96,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
170,2,2,0,1501,1,0,0,0,0,0,0,0,0,0,0,34,8,9,1
96,3,1,0,771,1,0,1,0,0,0,0,0,0,0,0,24,9,5,1
