"FILENAME","URL","URLLength","Domain","DomainLength","IsDomainIP","TLD","URLSimilarityIndex","TLDLength","NoOfSubDomain","HasObfuscation","NoOfObfuscatedChar","ObfuscationRatio","NoOfLettersInURL","LetterRatioInURL","NoOfDegitsInURL","DegitRatioInURL","NoOfEqualsInURL","NoOfQMarkInURL","NoOfAmpersandInURL","NoOfOtherSpecialCharsInURL","SpacialCharRatioInURL","IsHTTPS","LineOfCode","HasTitle","Title","DomainTitleMatchScore","HasFavicon","Robots","IsResponsive","NoOfURLRedirect","NoOfSelfRedirect","HasDescription","NoOfPopup","NoOfiFrame","HasExternalFormSubmit","HasSocialNet","HasSubmitButton","HasHiddenFields","HasPasswordField","Bank","Pay","Crypto","HasCopyrightInfo","NoOfImage","NoOfCSS","NoOfJS","NoOfSelfRef","NoOfEmptyRef","NoOfExternalRef","label"
7184,17841,35,15492,28,0,267,100,11,1,0,0,0,22,0.629,0,0,0,0,0,1,0.029,1,646,1,12205,100,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,3,10,22,9,13,1
23329,8435,74,3617,17,0,248,26.32841303,2,0,0,0,0,50,0.676,8,0.108,0,0,0,8,0.108,1,9,1,13307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7510,18195,23,15932,16,0,345,100,2,3,0,0,0,8,0.348,0,0,0,0,0,3,0.13,1,2385,1,12716,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,4,5,3,119,0,125,1
9299,19513,28,17549,21,0,96,100,3,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,1782,1,14539,100,0,0,1,0,0,1,0,19,0,1,1,1,1,1,1,0,1,18,47,19,71,28,25,1
15702,16669,33,14072,26,0,96,100,3,1,0,0,0,20,0.606,0,0,0,0,0,1,0.03,1,536,1,10410,100,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,30,9,13,12,1,47,1
10363,20249,30,18472,23,0,96,100,3,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,1588,1,15652,100,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,28,1
19518,3982,21,17809,15,0,96,63.63636364,3,2,0,0,0,8,0.381,0,0,0,0,0,2,0.095,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18721,21912,22,20564,15,0,191,100,2,1,0,0,0,9,0.409,0,0,0,0,0,1,0.045,1,2623,1,17956,100,1,0,1,1,0,1,0,2,0,1,1,1,1,0,0,0,1,79,18,31,135,5,31,1
4459,18955,35,16887,28,0,345,100,2,2,0,0,0,21,0.6,0,0,0,0,0,2,0.057,1,27988,1,13836,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,3,10,659,4,173,1
4982,10057,24,5639,17,0,223,100,3,2,0,0,0,10,0.417,0,0,0,0,0,2,0.083,1,2376,1,708,0,1,1,1,1,0,0,1,12,0,1,0,1,0,0,1,0,0,25,9,6,99,0,114,1
