"DomainLength","IsDomainIP","TLD","TLDLength","NoOfSubDomain","NoOfAmpersandInURL","HasTitle","HasFavicon","Robots","NoOfURLRedirect","NoOfSelfRedirect"
12,0,"com",3,1,0,1,1,1,0,0
17,0,"net",3,1,0,1,0,1,0,0
26,0,"org",3,1,0,1,0,1,0,0
17,0,"com",3,1,0,1,1,1,0,0
16,0,"net",3,1,0,1,0,1,0,0
18,0,"org",3,1,0,1,1,0,0,0
16,0,"info",4,0,0,1,0,0,0,0
17,0,"biz",3,1,0,1,1,1,0,0
16,0,"96",3,1,0,1,0,0,0,0
16,0,"248",2,1,0,1,1,1,0,0
17,0,"96",3,1,0,1,0,0,1,1
15,0,"96",3,1,1,1,1,0,1,1
16,0,"96",3,1,0,1,1,0,0,0
17,0,"131",7,1,0,0,0,0,0,0
14,0,"242",3,1,0,1,1,0,0,0
25,0,"96",3,2,0,1,1,1,0,0
14,0,"242",3,1,0,1,1,0,0,0
16,0,"96",3,1,0,1,1,0,0,0
17,0,"96",3,1,0,1,0,0,1,1
15,0,"96",3,1,1,1,1,0,1,1
