DomainLength,IsDomainIP,TLD,TLDLength,NoOfSubDomain,NoOfAmpersandInURL,LineOfCode,HasTitle,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,NoOfImage,NoOfCSS,NoOfJS,NoOfEmptyRef,label
4,0,43,2,0,0,3413,1,0,0,1,1,0,5,0,0,1,1,0,0,0,0,0,2,3,37,1
12,0,209,2,1,0,904,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,110,0,39,0,1
17,0,114,2,1,0,490,1,1,0,1,0,0,3,8,0,1,0,0,0,0,0,0,13,20,0,0
11,0,235,3,1,0,2,0,0,1,1,0,0,1,8,0,1,1,0,1,0,0,0,5,24,0,1
19,0,189,3,0,1,523,1,0,0,1,0,0,0,7,0,1,1,0,0,0,0,0,0,0,14,1
29,0,171,4,0,0,3132,1,1,0,0,1,0,0,9,0,1,0,0,0,0,0,107,17,14,10,1
10,0,200,3,1,0,1523,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,148,0,0,8,0
12,0,224,3,2,0,1911,1,1,0,1,0,0,2,0,0,0,1,1,0,0,0,0,13,28,20,0
26,0,114,3,2,1,680,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,44,22,29,0,0
39,0,138,3,1,0,2844,1,1,0,1,0,0,0,6,0,1,0,0,1,0,0,171,0,6,0,1
28,0,367,2,1,0,3960,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,20,4,0,1
14,0,367,3,2,0,1593,1,1,0,1,0,0,0,2,0,0,0,0,0,1,0,73,8,35,27,1
26,0,234,2,1,0,2914,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,118,0,8,32,0
22,0,94,3,1,0,2,1,0,1,1,0,0,3,6,0,1,1,0,0,0,0,0,19,0,0,0
25,0,146,2,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1
39,0,135,3,1,0,3493,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,91,0,19,23,1
12,0,116,3,2,0,1271,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,51,6,28,29,0
24,0,178,3,1,0,2449,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,109,21,44,11,1
18,0,199,3,2,0,2080,0,1,1,1,0,0,2,1,1,0,1,0,0,1,0,100,0,21,11,0
24,0,71,2,1,0,1296,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,63,4,10,25,1
17,0,87,3,2,0,1713,1,0,1,1,0,0,0,3,0,1,0,0,0,1,0,61,0,14,1,1
24,0,20,3,2,0,2,1,1,1,0,0,0,0,11,0,0,0,0,1,1,0,0,0,20,7,1
28,0,154,3,1,0,2,1,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,7,35,1
4,0,137,3,1,0,541,1,0,0,1,0,0,3,0,0,0,0,0,0,1,0,43,12,10,0,1
23,0,220,3,1,0,3614,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,55,0,13,0,1
30,0,162,3,1,0,880,1,1,1,1,0,0,2,0,0,1,0,0,1,0,0,73,16,34,0,0
8,0,221,3,1,0,2,1,0,0,1,1,0,1,7,0,1,1,0,0,0,0,20,0,16,0,1
28,0,210,2,3,0,2,1,1,0,1,1,0,0,6,0,1,0,1,0,0,0,1,27,15,4,1
19,0,4,2,2,0,2686,1,1,0,1,1,0,2,3,0,0,0,0,0,0,0,114,40,31,0,1
28,0,248,3,1,0,741,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,8,1,36,33,1
23,0,145,4,1,0,143,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,69,16,8,7,1
12,0,159,3,1,0,1530,1,0,0,0,0,1,0,7,0,1,0,0,0,0,0,0,0,6,0,0
29,0,66,3,2,0,2619,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,12,28,1
25,0,172,3,1,0,2433,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
23,0,244,4,1,1,2,1,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,2,19,0,1
30,0,24,3,0,0,1191,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,113,8,0,0,1
27,0,83,3,1,0,2,1,0,0,1,1,0,0,4,0,0,0,0,0,0,0,188,0,0,4,1
4,0,299,3,1,0,1651,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,100,10,16,0,0
13,0,239,3,2,0,4354,1,1,0,0,0,0,5,1,0,1,0,0,0,0,0,138,0,22,6,0
18,0,217,3,1,1,2919,1,0,1,0,0,0,0,9,0,0,1,0,0,1,0,179,2,10,16,1
22,0,298,2,0,0,2,1,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0,2,0,0,1
17,0,193,2,1,0,1223,1,0,0,1,1,0,0,8,0,0,0,0,1,0,0,94,22,33,8,1
31,0,141,2,1,1,2,1,0,0,1,0,0,0,5,0,1,1,0,0,0,0,0,14,0,22,0
33,0,48,3,1,0,3507,1,0,1,1,0,0,0,10,0,1,0,1,0,0,0,114,0,0,21,1
31,0,90,4,0,0,1804,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,35,4,21,0,1
25,0,129,3,1,1,1314,1,1,1,0,0,0,2,3,0,1,1,0,1,1,0,145,1,0,0,0
