DomainLength,IsDomainIP,TLD,TLDLength,NoOfSubDomain,NoOfAmpersandInURL,HasTitle,HasFavicon,Robots,NoOfURLRedirect,NoOfSelfRedirect,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,NoOfCSS,NoOfEmptyRef,label
22,0,98,3,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1
32,0,104,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,-1,1
15,0,150,3,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,3,1,1
25,0,202,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
25,0,97,3,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,3,-1,0
18,0,96,3,1,0,1,0,0,0,0,0,2,0,1,1,1,0,0,0,24,0,1
15,0,99,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
16,0,91,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
20,0,96,3,1,0,1,1,0,0,0,0,19,0,1,1,1,1,1,0,3,236,1
18,0,264,3,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,1
33,0,104,3,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3,0,0
15,0,91,3,1,0,1,1,0,1,1,0,4,0,1,0,0,1,1,1,12,0,1
19,0,352,2,2,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,29,-1,1
19,0,127,2,1,0,1,1,1,1,0,3,0,0,1,0,0,0,0,0,2,1,1
13,0,98,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
7,0,180,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,0,177,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
15,0,353,2,1,0,1,1,1,0,0,0,41,0,1,1,0,0,1,0,11,-1,1
21,0,101,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,-1,1
21,0,98,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,0,98,3,1,0,1,0,1,0,0,0,3,0,0,0,0,0,1,0,4,0,1
16,0,93,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,265,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,0,174,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
14,0,73,2,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,6,5,1
21,0,270,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,0,96,3,1,0,1,1,0,1,0,0,22,0,1,1,1,1,1,0,13,5,1
28,0,101,3,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
13,0,95,3,1,0,1,1,1,0,0,0,6,0,1,0,0,1,1,1,4,4,1
19,0,96,3,1,0,1,1,1,0,0,0,3,0,0,1,0,0,0,0,7,0,1
22,0,98,3,1,0,1,1,0,0,0,0,4,0,1,1,0,0,0,0,31,2,1
24,0,102,3,1,0,1,1,0,0,0,0,2,1,1,1,1,0,0,0,8,-1,1
25,0,99,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
17,0,93,3,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2,1,1
13,0,136,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
16,0,173,2,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,44,3,1
46,0,108,3,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
16,0,253,3,1,0,1,1,0,0,0,0,2,0,1,1,0,0,0,0,5,0,1
16,0,94,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,93,3,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,12,1,1
20,0,108,3,1,0,1,1,0,0,0,0,3,0,1,1,0,0,1,0,6,1,1
32,0,91,3,1,0,1,0,0,0,0,0,4,0,0,1,1,0,1,0,15,1,1
16,0,96,3,1,0,1,0,1,0,0,0,2,0,1,1,0,0,0,0,14,3,1
21,0,92,3,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,12,1,1
