"DomainLength","IsDomainIP","TLD","TLDLength","NoOfSubDomain","NoOfAmpersandInURL","HasTitle"
29,0,268,12,1,0,1
18,0,249,2,0,0,1
17,0,346,2,3,0,1
22,0,97,3,1,0,1
27,0,97,3,1,0,1
24,0,97,3,1,0,1
16,0,97,3,2,0,0
16,0,192,2,1,0,1
29,0,346,2,2,0,1
18,0,224,3,2,0,1
13,0,97,3,1,0,1
16,0,51,2,2,0,1
22,0,97,3,1,0,1
14,0,97,3,1,0,1
17,0,259,3,1,0,1
32,0,291,2,1,0,1
16,0,97,3,1,0,1
20,0,97,3,1,0,1
61,0,97,3,1,0,1
47,0,97,3,1,0,1
14,0,97,3,1,0,0
13,0,94,2,1,0,0
13,0,97,3,1,0,1
14,1,25,2,2,0,1
38,0,336,3,3,0,1
12,0,201,2,1,0,0
14,0,97,3,1,0,1
13,0,259,3,1,0,1
38,0,303,4,1,0,1
15,0,97,3,1,0,1
26,0,97,3,1,0,1
14,0,97,3,0,0,1
14,0,57,2,1,0,1
17,0,97,3,1,0,0
27,0,97,3,1,0,1
27,0,97,3,1,0,1
18,0,97,3,1,0,1
25,0,97,3,1,0,1
34,0,95,2,2,0,1
43,0,97,3,1,0,1
27,0,97,3,1,0,1
11,0,113,2,1,0,1
32,0,137,2,3,0,1
20,0,97,3,1,0,1
16,0,336,3,1,0,1
28,0,342,2,3,0,1
15,0,94,2,1,0,0
22,0,346,2,2,0,1
18,0,72,2,1,0,1
11,0,329,2,0,0,0
